IDs	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN13101_c0_g1	7.842676064	-0.085586424	0.227577645	0.261971889	0.720402329
TRINITY_DN631_c0_g1	51.17977721	-0.085615335	0.146895125	0.269323868	0.725281545
TRINITY_DN22045_c0_g1	17.60242457	-0.085645567	0.183656312	0.273488136	0.728605307
TRINITY_DN2703_c1_g1	7.77609159	-0.085655727	0.225857878	0.262797888	0.721231796
TRINITY_DN367_c1_g1	77.29856152	-0.085674079	0.128725735	0.263342877	0.721491326
TRINITY_DN3404_c0_g1	18.93971309	-0.085750165	0.184705023	0.273016133	0.728553672
TRINITY_DN1804_c2_g1	15.77196573	-0.08579886	0.19439443	0.272350015	0.727846898
TRINITY_DN8377_c0_g1	51.36798452	-0.085814834	0.138128311	0.266073489	0.722463123
TRINITY_DN3232_c1_g1	58.61647445	-0.085822876	0.134688457	0.264922064	0.72200209
TRINITY_DN6448_c1_g1	2.935387944	-0.085879063	0.270154928	0.203228279	NA
TRINITY_DN4969_c0_g1	155.2153621	-0.085904494	0.10478209	0.242774441	0.704310338
TRINITY_DN1246_c0_g1	63.43547812	-0.085905588	0.128985983	0.26227925	0.720402329
TRINITY_DN3881_c0_g1	10.65452271	-0.085951693	0.209733675	0.268797075	0.724261806
TRINITY_DN3207_c7_g1	16.57541158	-0.086002989	0.193846882	0.271500584	0.727424906
TRINITY_DN6304_c0_g1	8.067366599	-0.086100414	0.227734432	0.259880828	0.720105561
TRINITY_DN2530_c0_g1	10.22016166	-0.086108423	0.210212208	0.267997705	0.724159383
TRINITY_DN6897_c0_g1	7.766060312	-0.086108824	0.231694118	0.257078082	0.716613211
TRINITY_DN20851_c1_g1	132.0732441	-0.086119352	0.105417826	0.242468106	0.704090272
TRINITY_DN1202_c0_g1	54.07240642	-0.086193356	0.136270157	0.263604696	0.721491326
TRINITY_DN434_c0_g2	15.75964132	-0.086213062	0.189361606	0.270850465	0.72637777
TRINITY_DN6126_c0_g1	3.377014292	-0.086253967	0.263978303	0.21536011	NA
TRINITY_DN6028_c0_g1	22.47267962	-0.086277113	0.172156016	0.270044003	0.725859093
TRINITY_DN3974_c0_g1	6.547085931	-0.086330699	0.238478622	0.250570138	NA
TRINITY_DN2237_c0_g1	50.02276002	-0.086337592	0.138682167	0.26365048	0.721491326
TRINITY_DN957_c1_g1	154.9567044	-0.086383018	0.104282181	0.239571719	0.703058303
TRINITY_DN740_c1_g1	97.68953175	-0.086387542	0.11195411	0.248402012	0.709747527
TRINITY_DN174_c3_g1	1.549465016	-0.086434078	0.304338501	0.085845833	NA
TRINITY_DN10156_c0_g1	59.59238046	-0.086448829	0.134693723	0.261797849	0.720268626
TRINITY_DN8661_c0_g1	1.408263403	-0.086475615	0.302524499	0.094198863	NA
TRINITY_DN1289_c0_g1	78.99238878	-0.086482095	0.12386022	0.256794316	0.716613211
TRINITY_DN4700_c0_g1	1.588764448	-0.086571671	0.295617214	0.123711722	NA
TRINITY_DN16485_c0_g1	2.57387513	-0.086621803	0.275610751	0.188607957	NA
TRINITY_DN9189_c0_g1	62.47058626	-0.086627111	0.130760038	0.259400983	0.719921528
TRINITY_DN2461_c0_g1	250.0062279	-0.086630436	0.096983943	0.226721095	0.694526841
TRINITY_DN15407_c0_g1	2.107309793	-0.086677681	0.285544361	0.159960776	NA
TRINITY_DN1495_c0_g1	11.89409762	-0.08672229	0.211308177	0.265115171	0.722036674
TRINITY_DN398_c2_g2	12.59742319	-0.086765303	0.209683662	0.265419732	0.722036674
TRINITY_DN1856_c1_g1	86.07884733	-0.086765876	0.117449547	0.251153723	0.712779834
TRINITY_DN6785_c1_g1	1.746271303	-0.086840317	0.297581681	0.115898255	NA
TRINITY_DN12572_c0_g1	11.9364017	-0.086857018	0.203540777	0.266490688	0.722727088
TRINITY_DN3707_c0_g1	4.769239254	-0.086926954	0.254328615	0.229821708	NA
TRINITY_DN10886_c0_g1	127.7842212	-0.086950991	0.109084041	0.242493772	0.704090272
TRINITY_DN989_c0_g1	20.27948583	-0.086963792	0.179720379	0.267447982	0.723503183
TRINITY_DN1536_c0_g1	2.200524393	-0.087001035	0.285346295	0.160329768	NA
TRINITY_DN1335_c0_g1	24.50207685	-0.087186565	0.169185668	0.265579775	0.722036674
TRINITY_DN629_c1_g1	6.513719606	-0.087192756	0.239187033	0.246871624	NA
TRINITY_DN14415_c0_g2	5.110473335	-0.087232459	0.24891323	0.236212509	NA
TRINITY_DN1743_c0_g1	38.87139161	-0.087234758	0.152131305	0.262652545	0.721130163
TRINITY_DN11155_c0_g1	10.37430691	-0.087241666	0.216225358	0.261293045	0.720105561
TRINITY_DN11066_c0_g1	31.85965816	-0.087268863	0.158182438	0.263627748	0.721491326
TRINITY_DN1385_c0_g1	42.37656304	-0.087276067	0.144280692	0.260648372	0.720105561
TRINITY_DN9887_c0_g1	41.97654594	-0.087303378	0.143491382	0.260309948	0.720105561
TRINITY_DN17060_c0_g2	36.87238543	-0.087306948	0.161081603	0.263927209	0.721950435
TRINITY_DN506_c0_g1	20.16438533	-0.087389833	0.180516906	0.265585433	0.722036674
TRINITY_DN426_c0_g1	47.51257844	-0.087408865	0.138754573	0.258432826	0.71813262
TRINITY_DN2291_c0_g1	870.3886841	-0.087449989	0.08640456	0.199116638	0.664932336
TRINITY_DN27614_c0_g1	6.809787247	-0.087472158	0.233196588	0.250906979	NA
TRINITY_DN2261_c0_g1	14.1013384	-0.087512369	0.194804568	0.264868502	0.72200209
TRINITY_DN5027_c0_g1	14.70118806	-0.08762137	0.20134596	0.263651006	0.721491326
TRINITY_DN4498_c0_g1	5.862544815	-0.087717055	0.241130764	0.243216776	NA
TRINITY_DN1216_c0_g1	2.363756109	-0.08775402	0.28310648	0.166453741	NA
TRINITY_DN2179_c0_g2	28.71088903	-0.087827506	0.16056909	0.261445006	0.720105561
